;Gene;Recessive/Dominant
0;ABCB7;X-linked_recessive
1;ACSL4;X-linked_dominant
2;ADFN;X-linked
3;ADGRG2;X-linked
4;AFF2;X-linked_recessive
5;AGMX2;X-linked_recessive
6;AIC;X-linked_dominant
7;AIFM1;X-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive
8;AIH3;X-linked
9;ALAS2;X-linked_recessive\x3bX-linked
10;ALG13;X-linked
11;AMELX;X-linked_dominant
12;AMER1;X-linked_dominant
13;AMMECR1;X-linked_recessive
14;AMN;X-linked_recessive\x3bX-linked_recessive\x3bAutosomal_recessive
15;ANOS1;X-linked_recessive
16;AP1S2;X-linked_recessive
17;ARHGEF9;X-linked
18;ARR3;X-linked
19;ARSE;X-linked_recessive
20;ARX;X-linked\x3bX-linked\x3bX-linked_recessive\x3bX-linked_recessive\x3bX-linked\x3bX-linked_recessive
21;ATP2B3;X-linked_recessive
22;ATP6AP1;X-linked_recessive
23;ATP6AP2;X-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive
24;ATP11C;X-linked_recessive
25;ATRX;X-linked_dominant\x3b.\x3bX-linked_recessive
26;AVPR2;X-linked_recessive\x3bX-linked_recessive
27;BCAP31;X-linked_recessive
28;BCOR;X-linked_dominant
29;BCORL1;X-linked_recessive
30;BGN;X-linked\x3bX-linked_recessive
31;BMP15;X-linked\x3bX-linked
32;BRWD3;X-linked_recessive
33;BTK;X-linked_recessive\x3bX-linked_recessive
34;CACNA1F;X-linked_recessive\x3bX-linked\x3bX-linked
35;CASK;.\x3bX-linked_dominant\x3b.
36;CCDC22;X-linked_recessive
37;CCNQ;X-linked_dominant
38;CD40LG;X-linked_recessive
39;CDKL5;X-linked_dominant
40;CFP;X-linked_recessive
41;CGF1;X-linked
42;CHM;X-linked
43;CHRDL1;X-linked_recessive
44;CLCN4;X-linked_dominant
45;CLCN5;X-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive
46;CLDN2;X-linked_recessive
47;CMTX2;X-linked_recessive
48;CMTX3;X-linked_recessive
49;CNKSR2;X-linked
50;COD2;X-linked\x3bAutosomal_recessive\x3bAutosomal_recessive
51;COL4A6;X-linked_recessive
52;COX7B;X-linked_dominant
53;CUL4B;X-linked_recessive
54;CXorf56;X-linked
55;CYBB;X-linked_recessive\x3bX-linked_recessive
56;DCX;X-linked\x3bX-linked
57;DDX3X;X-linked_recessive,X-linked_dominant
58;DFNX3;X-linked
59;DIAPH2;X-linked_dominant
60;DLG3;X-linked_recessive
61;DMD;X-linked_recessive\x3bX-linked\x3bX-linked_recessive
62;EBP;X-linked_recessive\x3bX-linked_dominant
63;EDA;X-linked_dominant\x3bX-linked_recessive
64;EFNB1;X-linked_dominant
65;EIF2S3;X-linked_recessive
66;ELF4;X-linked_recessive
67;F8;.\x3bX-linked_recessive
68;F9;X-linked_recessive\x3bX-linked_recessive\x3bX-linked_recessive\x3bX-linked
69;FAM50A;X-linked_recessive
70;FANCB;X-linked_recessive
71;FCP1;Autosomal_recessive\x3bX-linked
