	Gene	Associated Disease
0	ARSE	('Chondrodysplasia_punctata,X-linked_recessive',)
1	NLGN4X	('{Asperger_syndrome_susceptibility,X-linked_2}\\x3bIntellectual_developmental_disorder,X-linked\\x3b{Autism_susceptibility,X-linked_2}',)
2	STS	('Ichthyosis,X-linked',)
3	ANOS1	('Hypogonadotropic_hypogonadism_1_with_or_without_anosmia_(Kallmann_syndrome_1)',)
4	TBL1X	('Hypothyroidism,congenital,nongoitrous,8',)
5	GPR143	('Ocular_albinism,type_I,Nettleship-Falls_type\\x3bNystagmus_6,congenital,X-linked',)
6	CLCN4	('Raynaud-Claes_syndrome',)
7	MID1	('Opitz_GBBB_syndrome',)
8	HCCS	('Linear_skin_defects_with_multiple_congenital_anomalies_1',)
9	AMELX	('Amelogenesis_imperfecta,type_1E',)
10	MSL3	('Basilicata-Akhtar_syndrome',)
11	FRMPD4	('Intellectual_developmental_disorder,X-linked_104',)
12	TLR7	('Immunodeficiency_74,COVID19-related,X-linked\\x3bSystemic_lupus_erythematosus_17',)
13	TLR8	('Immunodeficiency_98_with_autoinflammation,X-linked',)
14	TRAPPC2	('Spondyloepiphyseal_dysplasia_tarda',)
15	GLRA2	('Intellectual_developmental_disorder,X-linked_syndromic,Pilorge_type',)
16	FANCB	('Fanconi_anemia,complementation_group_B',)
17	PIGA	('Paroxysmal_nocturnal_hemoglobinuria,somatic\\x3bMultiple_congenital_anomalies-hypotonia-seizures_syndrome_2\\x3bNeurodevelopmental_disorder_with_epilepsy_and_hemochromatosis',)
18	AP1S2	('Pettigrew_syndrome',)
19	NHS	('Cataract_40,X-linked\\x3bNance-Horan_syndrome',)
20	CDKL5	('Developmental_and_epileptic_encephalopathy_2',)
21	RS1	('Retinoschisis',)
22	PHKA2	('Glycogen_storage_disease,type_IXa2\\x3bGlycogen_storage_disease,type_IXa1',)
23	ADGRG2	('Congenital_bilateral_absence_of_vas_deferens,X-linked',)
24	PDHA1	('Pyruvate_dehydrogenase_E1-alpha_deficiency',)
25	SH3KBP1	('?Immunodeficiency_61',)
26	RPS6KA3	('Intellectual_developmental_disorder,X-linked_19\\x3bCoffin-Lowry_syndrome',)
27	CNKSR2	('Intellectual_developmental_disorder,X-linked_syndromic,Houge_type',)
28	SMPX	('Myopathy,distal,7,adult-onset,X-linked\\x3bDeafness,X-linked_4',)
29	MBTPS2	('Keratosis_follicularis_spinulosa_decalvans,X-linked\\x3bOsteogenesis_imperfecta,type_XIX\\x3bIFAP_syndrome_with_or_without_BRESHECK_syndrome\\x3b?Olmsted_syndrome,X-linked',)
30	SMS	('Intellectual_developmental_disorder,X-linked_syndromic,Snyder-Robinson_type\\x3bSmith-Magenis_syndrome',)
31	PTCHD1	('{Autism,susceptibility_to,X-linked_4}',)
32	KLHL15	('Intellectual_developmental_disorder,X-linked_103',)
33	EIF2S3	('MEHMO_syndrome',)
34	PDK3	('?Charcot-Marie-Tooth_disease,X-linked_dominant,6',)
35	POLA1	"(""Pigmentary_disorder,reticulate,with_systemic_manifestations,X-linked\\x3bVan_Esch-O'Driscoll_syndrome"",)"
36	ARX	('Proud_syndrome\\x3bHydranencephaly_with_abnormal_genitalia\\x3bPartington_syndrome\\x3bDevelopmental_and_epileptic_encephalopathy_1\\x3bLissencephaly,X-linked_2\\x3bIntellectual_developmental_disorder,X-linked_29',)
37	IL1RAPL1	('Intellectual_developmental_disorder,X-linked_21',)
38	GK	('Glycerol_kinase_deficiency',)
39	DMD	('Becker_muscular_dystrophy\\x3bCardiomyopathy,dilated,3B\\x3bDuchenne_muscular_dystrophy',)
40	XK	('McLeod_syndrome_with_or_without_chronic_granulomatous_disease',)
41	CYBB	('Immunodeficiency_34,mycobacteriosis,X-linked\\x3bChronic_granulomatous_disease,X-linked',)
42	RPGR	('Retinitis_pigmentosa,X-linked,and_sinorespiratory_infections,with_or_without_deafness\\x3bCone-rod_dystrophy,X-linked,1\\x3bRetinitis_pigmentosa_3\\x3bMacular_degeneration,X-linked_atrophic',)
43	TSPAN7	('Intellectual_developmental_disorder,X-linked_58',)
44	BCOR	('Microphthalmia,syndromic_2',)
45	ATP6AP2	('Intellectual_developmental_disorder,X-linked_syndromic,Hedera_type\\x3b?Parkinsonism_with_spasticity,X-linked\\x3bCongenital_disorder_of_glycosylation,type_IIr',)
46	USP9X	('Intellectual_developmental_disorder,X-linked_99\\x3bIntellectual_developmental_disorder,X-linked_99,syndromic,female-restricted',)
47	DDX3X	('Intellectual_developmental_disorder,X-linked_syndromic,Snijders_Blok_type',)
48	NYX	('Night_blindness,congenital_stationary_(complete),1A,X-linked',)
49	CASK	('Intellectual_developmental_disorder,with_or_without_nystagmus\\x3bIntellectual_developmental_disorder_and_microcephaly_with_pontine_and_cerebellar_hypoplasia\\x3bFG_syndrome_4',)
50	MAOA	('{Antisocial_behavior}\\x3bBrunner_syndrome',)
51	NDP	('Exudative_vitreoretinopathy_2,X-linked\\x3bNorrie_disease',)
52	KDM6A	('Kabuki_syndrome_2',)
53	SLC9A7	('Intellectual_developmental_disorder,X-linked_108',)
54	RP2	('Retinitis_pigmentosa_2',)
55	NDUFB11	('Linear_skin_defects_with_multiple_congenital_anomalies_3\\x3b?Mitochondrial_complex_I_deficiency,nuclear_type_30',)
56	RBM10	('TARP_syndrome',)
57	UBA1	('Spinal_muscular_atrophy,X-linked_2,infantile\\x3bVEXAS_syndrome,somatic',)
58	SYN1	('Epilepsy,X-linked_1,with_variable_learning_disabilities_and_behavior_disorders\\x3bIntellectual_developmental_disorder,X-linked_50',)
59	CFP	('Properdin_deficiency,X-linked',)
60	FTSJ1	('Intellectual_developmental_disorder,X-linked_9',)
61	PORCN	('Focal_dermal_hypoplasia',)
62	EBP	('MEND_syndrome\\x3bChondrodysplasia_punctata,X-linked_dominant',)
63	WAS	('Wiskott-Aldrich_syndrome\\x3bNeutropenia,severe_congenital,X-linked\\x3bThrombocytopenia,X-linked,intermittent\\x3bThrombocytopenia,X-linked',)
64	GATA1	('Leukemia,megakaryoblastic,with_or_without_Down_syndrome,somatic\\x3bThrombocytopenia,X-linked,with_or_without_dyserythropoietic_anemia\\x3bAnemia,X-linked,with/without_neutropenia_and/or_platelet_abnormalities\\x3bThrombocytopenia_with_beta-thalassemia,X-linked\\x3bHemolytic_anemia_due_to_elevated_adenosine_deaminase',)
65	HDAC6	('?Chondrodysplasia_with_platyspondyly,distinctive_brachydactyly,hydrocephaly,and_microphthalmia',)
66	PQBP1	('Renpenning_syndrome',)
67	SLC35A2	('Congenital_disorder_of_glycosylation,type_IIm',)
68	OTUD5	('Multiple_congenital_anomalies-neurodevelopmental_syndrome,X-linked',)
69	TFE3	('Intellectual_developmental_disorder,X-linked_syndromic,with_pigmentary_mosaicism_and_coarse_facies\\x3bRenal_cell_carcinoma,papillary,1',)
70	WDR45	('Neurodegeneration_with_brain_iron_accumulation_5',)
71	PRICKLE3	('{Leber_hereditary_optic_neuropathy,modifier_of}',)
72	SYP	('Intellectual_developmental_disorder,X-linked_96',)
73	CACNA1F	('Cone-rod_dystrophy,X-linked,3\\x3bNight_blindness,congenital_stationary_(incomplete),2A,X-linked\\x3bAland_Island_eye_disease',)
74	CCDC22	('Ritscher-Schinzel_syndrome_2',)
75	USP27X	('Intellectual_developmental_disorder,X-linked_105',)
76	CLCN5	('Proteinuria,low_molecular_weight,with_hypercalciuric_nephrocalcinosis\\x3bHypophosphatemic_rickets\\x3bDent_disease_1\\x3bNephrolithiasis,type_I',)
77	BMP15	('Premature_ovarian_failure_4\\x3bOvarian_dysgenesis_2',)
78	KDM5C	('Intellectual_developmental_disorder,X-linked_syndromic,Claes-Jensen_type',)
79	IQSEC2	('Intellectual_developmental_disorder,X-linked_1',)
80	SMC1A	('Cornelia_de_Lange_syndrome_2\\x3bDevelopmental_and_epileptic_encephalopathy_85,with_or_without_midline_brain_defects',)
81	HSD17B10	('HSD10_mitochondrial_disease',)
82	HUWE1	('Intellectual_developmental_disorder,X-linked_syndromic,Turner_type',)
83	PHF8	('Intellectual_developmental_disorder,X-linked_syndromic,Siderius_type',)
84	TSR2	('?Diamond-Blackfan_anemia_14_with_mandibulofacial_dysostosis',)
85	FGD1	('Intellectual_developmental_disorder,X-linked_syndromic_16\\x3bAarskog-Scott_syndrome',)
86	MAGED2	('Bartter_syndrome,type_5,antenatal,transient',)
87	ALAS2	('Anemia,sideroblastic,1\\x3bProtoporphyria,erythropoietic,X-linked',)
88	ARHGEF9	('Developmental_and_epileptic_encephalopathy_8',)
89	AMER1	('Osteopathia_striata_with_cranial_sclerosis',)
90	ZC4H2	('Wieacker-Wolff_syndrome\\x3bWieacker-Wolff_syndrome,female-restricted',)
91	LAS1L	('Wilson-Turner_syndrome',)
92	MSN	('Immunodeficiency_50',)
93	OPHN1	('Intellectual_developmental_disorder,X-linked_syndromic,Billuart_type',)
94	EFNB1	('Craniofrontonasal_dysplasia',)
95	EDA	('Tooth_agenesis,selective,X-linked_1\\x3bEctodermal_dysplasia_1,hypohidrotic,X-linked',)
96	IGBP1	('?Corpus_callosum,agenesis_of,with_impaired_intellectual_development,ocular_coloboma_and_micrognathia',)
97	ARR3	('Myopia_26,X-linked,female-limited',)
98	KIF4A	('?Intellectual_developmental_disorder,X-linked_100',)
99	DLG3	('Intellectual_developmental_disorder,X-linked_90',)
100	TEX11	('Spermatogenic_failure,X-linked_2',)
101	IL2RG	('Combined_immunodeficiency,X-linked,moderate\\x3bSevere_combined_immunodeficiency,X-linked',)
102	MED12	('Lujan-Fryns_syndrome\\x3bOhdo_syndrome,X-linked\\x3bHardikar_syndrome\\x3bOpitz-Kaveggia_syndrome',)
103	NLGN3	('{Asperger_syndrome_susceptibility,X-linked_1}\\x3b{Autism_susceptibility,X-linked_1}',)
104	GJB1	('Charcot-Marie-Tooth_neuropathy,X-linked_dominant,1',)
105	NONO	('Intellectual_developmental_disorder,X-linked_syndromic_34',)
106	OGT	('Intellectual_developmental_disorder,X-linked_106',)
107	GCNA	('Spermatogenic_failure,X-linked,4',)
108	HDAC8	('Cornelia_de_Lange_syndrome_5',)
109	SLC16A2	('Allan-Herndon-Dudley_syndrome',)
110	RLIM	('Tonne-Kalscheuer_syndrome',)
111	ABCB7	('Anemia,sideroblastic,with_ataxia',)
112	FGF16	('Metacarpal_4-5_fusion',)
113	ATRX	('Alpha-thalassemia/mental_retardation_syndrome\\x3bAlpha-thalassemia_myelodysplasia_syndrome,somatic\\x3bIntellectual_disability-hypotonic_facies_syndrome,X-linked',)
114	MAGT1	('Immunodeficiency,X-linked,with_magnesium_defect,Epstein-Barr_virus_infection_and_neoplasia\\x3bCongenital_disorder_of_glycosylation,type_Icc',)
115	COX7B	('Linear_skin_defects_with_multiple_congenital_anomalies_2',)
116	PGK1	('Phosphoglycerate_kinase_1_deficiency',)
117	TBX22	('Cleft_palate_with_ankyloglossia\\x3b?Abruzzo-Erickson_syndrome',)
118	BRWD3	('Intellectual_developmental_disorder,X-linked_93',)
119	POU3F4	('Deafness,X-linked_2',)
120	ZNF711	('Intellectual_developmental_disorder,X-linked_97',)
121	POF1B	('?Premature_ovarian_failure_2B',)
122	CHM	('Choroideremia',)
123	DIAPH2	('?Premature_ovarian_failure_2A',)
124	PCDH19	('Developmental_and_epileptic_encephalopathy_9',)
125	TIMM8A	('Mohr-Tranebjaerg_syndrome',)
126	BTK	('Agammaglobulinemia,X-linked_1\\x3bIsolated_growth_hormone_deficiency,type_III,with_agammaglobulinemia',)
127	HNRNPH2	('Intellectual_developmental_disorder,X-linked_syndromic,Bain_type',)
128	GPRASP2	('?Deafness,X-linked_7',)
129	PLP1	('Pelizaeus-Merzbacher_disease\\x3bSpastic_paraplegia_2,X-linked',)
130	SERPINA7	('[Thyroxine-binding_globulin_QTL]',)
131	CLDN2	('?Azoospermia,obstructive,with_nephrolithiasis',)
132	PIH1D3	('Ciliary_dyskinesia,primary,36,X-linked',)
133	MID2	('?Intellectual_developmental_disorder,X-linked_101',)
134	COL4A6	('?Deafness,X-linked_6',)
135	IRS4	('Hypothyroidism,congenital,nongoitrous,9',)
136	ACSL4	('Intellectual_developmental_disorder,X-linked_63',)
137	AMMECR1	('Midface_hypoplasia,hearing_impairment,elliptocytosis,and_nephrocalcinosis',)
138	CHRDL1	('Megalocornea_1,X-linked',)
139	PAK3	('Intellectual_developmental_disorder,X-linked_30',)
140	DCX	('Subcortical_laminal_heterotopia,X-linked\\x3bLissencephaly,X-linked',)
141	ALG13	('Developmental_and_epileptic_encephalopathy_36',)
142	PLS3	('Bone_mineral_density_QTL18,osteoporosis',)
143	CXorf56	('?Intellectual_developmental_disorder,X-linked_107',)
144	UBE2A	('Intellectual_developmental_disorder,X-linked_syndromic,Nascimento_type',)
145	UPF3B	('Intellectual_developmental_disorder,X-linked_syndromic_14',)
146	RNF113A	('Trichothiodystrophy_5,nonphotosensitive',)
147	NKAP	('Intellectual_developmental_disorder,X-linked_syndromic,Hackman-Di_Donato_type',)
148	LAMP2	('Danon_disease',)
149	CUL4B	('Intellectual_developmental_disorder,X-linked_syndromic,Cabezas_type',)
150	GRIA3	('Intellectual_developmental_disorder,X-linked_syndromic,Wu_type',)
151	THOC2	('Intellectual_developmental_disorder,X-linked_12',)
152	XIAP	('Lymphoproliferative_syndrome,X-linked,2',)
153	STAG2	('Holoprosencephaly_13,X-linked\\x3bMullegama-Klein-Martinez_syndrome',)
154	SH2D1A	('Lymphoproliferative_syndrome,X-linked,1',)
155	OCRL	('Dent_disease_2\\x3bLowe_syndrome',)
156	SASH3	('Immunodeficiency_102',)
157	ZDHHC9	('Intellectual_developmental_disorder,X-linked_syndromic,Raymond_type',)
158	BCORL1	('Shukla-Vernon_syndrome',)
159	ELF4	('Autoinflammatory_syndrome,familial,X-linked,Behcet-like_2',)
160	AIFM1	('Combined_oxidative_phosphorylation_deficiency_6\\x3bCowchock_syndrome\\x3bSpondyloepimetaphyseal_dysplasia,X-linked,with_hypomyelinating_leukodystrophy\\x3bDeafness,X-linked_5',)
161	IGSF1	('Hypothyroidism,central,and_testicular_enlargement',)
162	FRMD7	('Nystagmus,infantile_periodic_alternating,X-linked\\x3bNystagmus_1,congenital,X-linked',)
163	HS6ST2	('?Paganini-Miozzo_syndrome',)
164	GPC4	('Keipert_syndrome',)
165	GPC3	('Wilms_tumor,somatic\\x3bSimpson-Golabi-Behmel_syndrome,type_1',)
166	PHF6	('Borjeson-Forssman-Lehmann_syndrome',)
167	HPRT1	('Hyperuricemia,HRPT-related\\x3bLesch-Nyhan_syndrome',)
168	SLC9A6	('Intellectual_developmental_disorder,X-linked_syndromic,Christianson_type',)
169	CD40LG	('Immunodeficiency,X-linked,with_hyper-IgM',)
170	ZIC3	('Congenital_heart_defects,nonsyndromic,1,X-linked\\x3bHeterotaxy,visceral,1,X-linked\\x3bVACTERL_association,X-linked',)
