	Associated Disease
ARSE	Chondrodysplasia_punctata,X-linked_recessive
NLGN4X	{Asperger_syndrome_susceptibility,X-linked_2}\x3bIntellectual_developmental_disorder,X-linked\x3b{Autism_susceptibility,X-linked_2}
STS	Ichthyosis,X-linked
ANOS1	Hypogonadotropic_hypogonadism_1_with_or_without_anosmia_(Kallmann_syndrome_1)
TBL1X	Hypothyroidism,congenital,nongoitrous,8
GPR143	Ocular_albinism,type_I,Nettleship-Falls_type\x3bNystagmus_6,congenital,X-linked
CLCN4	Raynaud-Claes_syndrome
MID1	Opitz_GBBB_syndrome
HCCS	Linear_skin_defects_with_multiple_congenital_anomalies_1
AMELX	Amelogenesis_imperfecta,type_1E
MSL3	Basilicata-Akhtar_syndrome
FRMPD4	Intellectual_developmental_disorder,X-linked_104
TLR7	Immunodeficiency_74,COVID19-related,X-linked\x3bSystemic_lupus_erythematosus_17
TLR8	Immunodeficiency_98_with_autoinflammation,X-linked
TRAPPC2	Spondyloepiphyseal_dysplasia_tarda
GLRA2	Intellectual_developmental_disorder,X-linked_syndromic,Pilorge_type
FANCB	Fanconi_anemia,complementation_group_B
PIGA	Paroxysmal_nocturnal_hemoglobinuria,somatic\x3bMultiple_congenital_anomalies-hypotonia-seizures_syndrome_2\x3bNeurodevelopmental_disorder_with_epilepsy_and_hemochromatosis
AP1S2	Pettigrew_syndrome
NHS	Cataract_40,X-linked\x3bNance-Horan_syndrome
CDKL5	Developmental_and_epileptic_encephalopathy_2
RS1	Retinoschisis
PHKA2	Glycogen_storage_disease,type_IXa2\x3bGlycogen_storage_disease,type_IXa1
ADGRG2	Congenital_bilateral_absence_of_vas_deferens,X-linked
PDHA1	Pyruvate_dehydrogenase_E1-alpha_deficiency
SH3KBP1	?Immunodeficiency_61
RPS6KA3	Intellectual_developmental_disorder,X-linked_19\x3bCoffin-Lowry_syndrome
CNKSR2	Intellectual_developmental_disorder,X-linked_syndromic,Houge_type
SMPX	Myopathy,distal,7,adult-onset,X-linked\x3bDeafness,X-linked_4
MBTPS2	Keratosis_follicularis_spinulosa_decalvans,X-linked\x3bOsteogenesis_imperfecta,type_XIX\x3bIFAP_syndrome_with_or_without_BRESHECK_syndrome\x3b?Olmsted_syndrome,X-linked
SMS	Intellectual_developmental_disorder,X-linked_syndromic,Snyder-Robinson_type\x3bSmith-Magenis_syndrome
PTCHD1	{Autism,susceptibility_to,X-linked_4}
KLHL15	Intellectual_developmental_disorder,X-linked_103
EIF2S3	MEHMO_syndrome
PDK3	?Charcot-Marie-Tooth_disease,X-linked_dominant,6
POLA1	Pigmentary_disorder,reticulate,with_systemic_manifestations,X-linked\x3bVan_Esch-O'Driscoll_syndrome
ARX	Proud_syndrome\x3bHydranencephaly_with_abnormal_genitalia\x3bPartington_syndrome\x3bDevelopmental_and_epileptic_encephalopathy_1\x3bLissencephaly,X-linked_2\x3bIntellectual_developmental_disorder,X-linked_29
IL1RAPL1	Intellectual_developmental_disorder,X-linked_21
GK	Glycerol_kinase_deficiency
DMD	Becker_muscular_dystrophy\x3bCardiomyopathy,dilated,3B\x3bDuchenne_muscular_dystrophy
XK	McLeod_syndrome_with_or_without_chronic_granulomatous_disease
CYBB	Immunodeficiency_34,mycobacteriosis,X-linked\x3bChronic_granulomatous_disease,X-linked
RPGR	Retinitis_pigmentosa,X-linked,and_sinorespiratory_infections,with_or_without_deafness\x3bCone-rod_dystrophy,X-linked,1\x3bRetinitis_pigmentosa_3\x3bMacular_degeneration,X-linked_atrophic
TSPAN7	Intellectual_developmental_disorder,X-linked_58
BCOR	Microphthalmia,syndromic_2
ATP6AP2	Intellectual_developmental_disorder,X-linked_syndromic,Hedera_type\x3b?Parkinsonism_with_spasticity,X-linked\x3bCongenital_disorder_of_glycosylation,type_IIr
USP9X	Intellectual_developmental_disorder,X-linked_99\x3bIntellectual_developmental_disorder,X-linked_99,syndromic,female-restricted
DDX3X	Intellectual_developmental_disorder,X-linked_syndromic,Snijders_Blok_type
NYX	Night_blindness,congenital_stationary_(complete),1A,X-linked
CASK	Intellectual_developmental_disorder,with_or_without_nystagmus\x3bIntellectual_developmental_disorder_and_microcephaly_with_pontine_and_cerebellar_hypoplasia\x3bFG_syndrome_4
MAOA	{Antisocial_behavior}\x3bBrunner_syndrome
NDP	Exudative_vitreoretinopathy_2,X-linked\x3bNorrie_disease
KDM6A	Kabuki_syndrome_2
SLC9A7	Intellectual_developmental_disorder,X-linked_108
RP2	Retinitis_pigmentosa_2
NDUFB11	Linear_skin_defects_with_multiple_congenital_anomalies_3\x3b?Mitochondrial_complex_I_deficiency,nuclear_type_30
RBM10	TARP_syndrome
UBA1	Spinal_muscular_atrophy,X-linked_2,infantile\x3bVEXAS_syndrome,somatic
SYN1	Epilepsy,X-linked_1,with_variable_learning_disabilities_and_behavior_disorders\x3bIntellectual_developmental_disorder,X-linked_50
CFP	Properdin_deficiency,X-linked
FTSJ1	Intellectual_developmental_disorder,X-linked_9
PORCN	Focal_dermal_hypoplasia
EBP	MEND_syndrome\x3bChondrodysplasia_punctata,X-linked_dominant
WAS	Wiskott-Aldrich_syndrome\x3bNeutropenia,severe_congenital,X-linked\x3bThrombocytopenia,X-linked,intermittent\x3bThrombocytopenia,X-linked
GATA1	Leukemia,megakaryoblastic,with_or_without_Down_syndrome,somatic\x3bThrombocytopenia,X-linked,with_or_without_dyserythropoietic_anemia\x3bAnemia,X-linked,with/without_neutropenia_and/or_platelet_abnormalities\x3bThrombocytopenia_with_beta-thalassemia,X-linked\x3bHemolytic_anemia_due_to_elevated_adenosine_deaminase
HDAC6	?Chondrodysplasia_with_platyspondyly,distinctive_brachydactyly,hydrocephaly,and_microphthalmia
PQBP1	Renpenning_syndrome
SLC35A2	Congenital_disorder_of_glycosylation,type_IIm
OTUD5	Multiple_congenital_anomalies-neurodevelopmental_syndrome,X-linked
TFE3	Intellectual_developmental_disorder,X-linked_syndromic,with_pigmentary_mosaicism_and_coarse_facies\x3bRenal_cell_carcinoma,papillary,1
WDR45	Neurodegeneration_with_brain_iron_accumulation_5
PRICKLE3	{Leber_hereditary_optic_neuropathy,modifier_of}
SYP	Intellectual_developmental_disorder,X-linked_96
